aM gaRAya,am+gaRAya
daSAyAM na,daSAyAm+na
daSAyAmanumititvA,daSAyAm+anumititvA
daSAyAmapi,daSAyAm+api
daSAyAmapiga,daSAyAm+apiga
daSAyAmetaddeSa,daSAyAmetat+deSa
daSAviSezamanuBavanti,daSAviSezam+anuBavanti
daSAhamuzitaM,daSAham+uzitaM
daSAhoBirnyapAtayat,daSAhoBiH+nyapAtayat
daSA'pi,daSA+api
daSA''sIt,daSA+AsIt
daSEte,daSa+ete
dasyu AgataH,dasyuH+AgataH
dasyUnAM darpadalanAya,dasyUnAm+darpadalanAya
dahanAdiSabdastu,dahanAdiSabdaH+tu
dahedanukalAstreRa,dahet+anukalAstreRa
dahedvA,dahet+vA
dahyamAnamAsIt,dahyamAnam+AsIt
dAtavya DanAdikaM,dAtavyaM+DanAdikaM
dAtavyaM na,dAtavyam+na
dAtavyaM Bavizyati,dAtavyam+Bavizyati
dAtavyamiti,dAtavyam+iti
dAtavyamindrAya,dAtavyam+indrAya
dAtavyameva,dAtavyam+eva
dAtukAmo'pi,dAtukAmaH+api
dAtumakaTayat,dAtum+akaTayat
dAtumatra,dAtum+atra
dAtumanumatiM,dAtum+anumatiM
dAtumapi,dAtum+api
dAtumarhati,dAtum+arhati
dAtumarhasi,dAtum+arhasi
dAtumaSakat,dAtum+aSakat
dAtumasamarTAH,dAtum+asamarTAH
dAtumAdiSat,dAtum+AdiSat
dAtumicCati,dAtum+icCati
dAtumicCAM,dAtum+icCAM
dAtumicCAmi,dAtum+icCAmi
dAtumicCati,dAtum+icCati
dAtumicCAmi,dAtum+icCAmi
dAtumiva,dAtum+iva
dAtumupacakrame,dAtum+upacakrame
dAtumeva,dAtum+eva
dAturicCAtaHpradattaDane,dAtuH+icCAtaHpradattaDane
dAnaM pratijYAtam,dAnam+pratijYAtam
dAnakartftvameva,dAnakartftvam+eva
dAnakartftvasattve'pi,dAnakartftvasattve+api
dAnakartftvasyAvyAGAtAd,dAnakartftvasya+avyAGAtAd
dAnakartftvABAvavAniti,dAnakartftvABAvavAn+iti
dAnagrahaRecCUnAmapekzayA,dAnagrahaRecCUnAm+apekzayA
dAnapAtrIBUtA iti,dAnapAtrIBUtAH+iti
dAnamaprasidDaM tad,dAnamaprasidDam+tad
dAnamaprasidDamiti,dAnamaprasidDam+iti
dAnamindraprasAdasya,dAnam+indraprasAdasya
dAnamizWasADanamiti,dAnamizWasADanam+iti
dAnamuhUrte'tikrAnte,dAnamuhUrte+atikrAnte
dAnavayornikziptam,dAnavayoH+nikziptam
dAnavaro DanAdidAnAya,dAnavaraH+DanAdidAnAya
dAnavA jitAH,dAnavAH+jitAH
dAnavAnAmiva,dAnavAnAm+iva
dAnavASca,dAnavAH+ca
dAnaviSizwecCAyA,dAnaviSizwa+icCAyA
dAnavratamavicCinnaM,dAnavratam+avicCinnaM
dAnaSIlatapoBAvarUpamuKacatuzwayakalitaScAritraDarmanfpaH,dAnaSIlatapoBAvarUpamuKacatuzwayakalitaH+cAritraDarmanfpaH
dAnADyayanaSIlASca,dAnADyayanaSIlAH+ca
dAnAyEva,dAnAya+eva
dAnAyopasaNkalpayati,dAnAya+upasaNkalpayati
dAninAmimAm,dAninAm+imAm
dAnino'DikAH,dAninaH+aDikAH
dAnino'nena,dAninaH+anena
dAnino'smAkam,dAninaH+asmAkam
dAnenAnena,dAnena+anena
dAmanakaM mama,dAmanakam+mama
dAmodaraHMsAsuraM ca,dAmodaraHMsAsuram+ca
dAmodaraHAliyo nAma,dAmodaraHAliyaH+nAma
dAmodarastava,dAmodaraH+tava
dAmpatyapratIkamasti,dAmpatyapratIkam+asti
dAmpatyamapi,dAmpatyam+api
dAmpatyAtkOmAryameva,dAmpatyAtkOmAryam+eva
dAyAdyamiti,dAyAdyam+iti
dAyitvamarDaM,dAyitvam+arDaM
dArakaM gfhItvA,dArakam+gfhItvA
dArakakelikalaravamanAkarRya,dArakakelikalaravam+anAkarRya
dArakASca,dArakAn+ca
dArako nandagopasya,dArakaH+nandagopasya
dArapadesti,dArapade+asti
dArapradAnAnna,dArapradAnAt+na
dArayanmAlI,dArayan+mAlI
dArayedvahnO,dArayet+vahnO
dArasadfSAcaraRakartftvAvacCinnatvasyEva,dArasadfSAcaraRakartftvAvacCinnatvasya+eva
dAraharaRaM na,dAraharaRam+na
dArApaharaRaM kftam,dArApaharaRam+kftam
dArApaharaRAdasi,dArApaharaRAd+asi
dArikAM gfhItvA,dArikAm+gfhItvA
dAriketi,dArikA+iti
dArikeyaM mftA,dArikeyam+mftA
dArikeyam,dArikA+iyam
dAridrayadaSAvizaye'pi,dAridrayadaSAvizaye+api
dAridryaM varRavidDe,dAridryam+varRavidDe
dAridryaM SilAvidDena,dAridryam+SilAvidDena
dAridryamaBilazasi,dAridryam+aBilazasi
dArujAdizwakABave,dArujAt+izwakABave
dAruRamavasAnam,dAruRam+avasAnam
dAruRamimam,dAruRam+imam
dArQyasyeva,dArQyasya+iva
dArzwAntike'nupapAdanAt,dArzwAntike+anupapAdanAt
dASarAjYayudDamiti,dASarAjYayudDam+iti
dAsaBAvo Bavet,dAsaBAvaH+Bavet
dAsA iva,dAsAH+iva
dAsIkAryamakarot,dAsIkAryam+akarot
dAsInAmekA,dAsInAm+ekA
dAsIsahitAyAstasyA,dAsIsahitAyAH+tasyA
dAsyatIti,dAsyati+iti
dAsyaviDAyino vihitAH,dAsyaviDAyinaH+vihitAH
dAsyaSca,dAsyaH+ca
dAsyAmIti,dAsyAmi+iti
dAsyAvapi,dAsyO+api
dAsyatyeva,dAsyati+eva
dAsyAmyeva,dAsyAmi+eva
dAhaM pfTivI,dAham+pfTivI
dAhapratibanDaka iti,dAhapratibanDakaH+iti
dAhayanniva,dAhayan+iva
dAhasAmAnyasattve'pi,dAhasAmAnyasattve+api
dAhApattiriti,dAhApattiH+iti
dAhoga,dAhaH+ga
dAhyAsaMyogasyEva,dAhyAsaMyogasya+eva
dikkAlamanAMsyamUrtatvAt,dikkAlamanAMsi+amUrtatvAt
dikpatiyAgo nAma,dikpatiyAgaH+nAma
dikpatIMSca,dikpatIn+ca
dikpatInAYca,dikpatInAm+ca
dikpAlakasamakzameva,dikpAlakasamakzam+eva
dikpAlakA eva,dikpAlakAH+eva
dikpAlakAnapi,dikpAlakAn+api
dikpAlakAnAmanugrahaM,dikpAlakAnAm+anugrahaM
dikpAlaparyantAnfzIn,dikpAlaparyantAn+fzIn
dikpAlAMSca,dikpAlAn+ca
dikzvaTo,dikzu+aTo
dikzvazwAzwakasaNKyayA,dikzu+azwAzwakasaNKyayA
digAderapi,digAdeH+api
digAdO,dik+AdO
digbanDanameva,digbanDanam+eva
digbaliM kzipet,digbalim+kzipet
digbaliM ca,digbalim+ca
digbaliYca,digbalim+ca
digviSezavyapadeSAnupapattiriti,digviSezavyapadeSAnupapattiH+iti
diNnAgAdyESca,diNnAgAdyEH+ca
diNmoha iti,diNmohaH+iti
diNmAtraM pradarSitam,diNmAtram+pradarSitam
diti,aBAvAt+iti
ditikagaGaNacasamAnadeSasamAnaDarmApannam,t+itikagaGaNacasamAnadeSasamAnaDarmApannam
ditirvinazwaputrA,ditiH+vinazwaputrA
dityuktam,diti+uktam
ditsitenAntareRa,ditsitena+antareRa
ditsuraham,ditsuH+aham
didaDyAddakziRe,didaDyAt+dakziRe
dinaM nityanavInAnAM,dinam+nityanavInAnAm
dinaM paSyato,dinam+paSyata
dinatrayamatItam,dinatrayam+atItam
dinatrayamAtrasya,dinatrayam+asya
dinatrayamAvaSyakam,dinatrayam+AvaSyakam
dinatrayamidam,dinatrayam+idam
dinatrayAtpUrvameva,dinatrayAt+pUrvameva
dinadvayameva,dinadvayam+eva
dinadvayAdAraBya,dinadvayAt+AraBya
dinadvayAnantaraM kumArasya,dinadvayAnantaram+kumArasya
dinadvaye'tIte,dinadvaye+atIte
dinapatrikAMSca,dinapatrikAn+ca
dinamavaSizyate,dinam+avaSizyate
dinasamaye'pi,dinasamaye+api
dinAnIti,dinAni+iti
dinezveva,dinezu+eva
dine'pi,dine+api
dine'varData,dine+avarData
dine'sO,dine+asO
dillISvaro'pi,dillISvaraH+api
dillInagarAjjayapure,dillInagarAt+jayapure
divaM naraH,divam+naraH
divaM prayAmi,divam+prayAmi
divaM vrajet,divam+vrajet
divaNgataH,divaM+gataH
divaNgataH,divam+gataH
divaNgatasya,divaM+gatasya
divamAruroha,divam+Aruroha
divamupagatA,divam+upagatA
divamupayAte,divam+upayAte
divasekamAtrameva,divasekamAtram+eva
divasezuviprayogasamayevasantAvatAravelAsuSaradujjfmBaRakAle,divasezuviprayogasamayevasantO+tAravelAsuSaradujjfmBaRakAle
divasezyaDyayanasya,divasezu+aDyayanasya
divasezvezu,divasezu+ezu
divase'pi,divase+api
divAniSaM vyacarat,divAniSam+vyacarat
divAsvapnocitAnapi,divAsvapnocitAn+api
divA'BuYjAnasya,divA+aBuYjAnasya
diviDirnAma,diviDiH+nAma
divyaganDarvA gAyanti,divyaganDarvAH+gAyanti
divyamAsIt,divyam+AsIt
divyasvarUpamapaSyat,divyasvarUpam+apaSyat
divyAntarikzaBUmizWaviGnAnutsAryya,divyAntarikzaBUmizWaviGnAn+utsAryya
divye'mBasi,divye+amBasi
divyOzaDIrnyaset,divyOzaDIH+nyaset
diSamapaSyat,diSam+apaSyat
diSamIkzamARAH,diSam+IkzamARAH
diSaSca,diSaH+ca
diSastAdfktvAsidDeH,diSaH+tAdfktvAsidDeH
diSAnirdeSaSca,diSAnirdeSaH+ca
diSimuddiSya,diSim+uddiSya
diSo nErmalyamitAH,diSaH+nErmalyamitAH
diSo'pi,diSaH+api
diSyudyAmakagrAmavAsI,diSi+udyAmakagrAmavAsI
dizwyedAnImamitrajananiroDena,dizwyedAnIm+amitrajananiroDena
dIkzayAmyaham,dIkzayAmi+aham
dIkzayecCizyAn,dIkzayet+SizyAn
dIkzayedguruH,dIkzayet+guruH
dIkzayeddeSikottamaH,dIkzayet+deSikottamaH
dIkzAmagrahIt,dIkzAm+agrahIt
dIkzAmAdade,dIkzAm+Adade
dIkzAyAM samayAcArayAgataH,dIkzAyAm+samayAcArayAgataH
dIkzA''cAryyeRa,dIkzA+AcAryyeRa
dIkzitAnAntu,dIkzitAnAm+tu
dIDitikAraleKanAsaMgatiriti,dIDitikAraleKanAsaMgatiH+iti
dIDitikAraleKanAsaMgateriti,dIDitikAraleKanAsaMgateH+iti
dIDitikftA'pi,dIDitikftA+api
dIDitikfttestaTAviDa,dIDitikftteH+taTAviDa
dIDitigranTo na,dIDitigranTaH+na
dIDitiviroDamASaMkate,dIDitiviroDamam+ASaMkate
dInadIna iti,dInadInaH+iti
dInaBAvenA'lAuddInasya,dInaBAvena+alAuddInasya
dInavadano vikIrRakeSastaralitadfSA,dInavadanaH+vikIrRakeSastaralitadfSA
dInasyAsya,dInasya+asya
dInAnATaSarmARamavAdIt,dInAnATaSarmARam+avAdIt
dInArakowirapi,dInArakowiH+api
dInArasahasraBftamekaM,dInArasahasraBftam+ekaM
dIpaM gfhItvA,dIpam+gfhItvA
dIpaM nirvApayati,dIpam+nirvApayati
dIpaprakASasyABAvAt,dIpaprakASasya+aBAvAt
dIpapraBAvyaktIkftarUpaM dfSyate,dIpapraBAvyaktIkftarUpam+dfSyate
dIpenodvejayati,dIpena+udvejayati
dIpo rAtrizu,dIpaH+rAtrizu
dIptimatyugrA,dIptim+atyugrA
dIptenAparadarBeRa,dIptena+aparadarBeRa
dIyatAM pAritozikam,dIyatAm+pAritozikam
dIyatAM me,dIyatAm+me
dIyatAmAryAya,dIyatAm+AryAya
dIyatAmiti,dIyatAm+iti
dIyamAnamicCAmi,dIyamAnam+icCAmi
dIyo nAma,dIyaH+nAma
dIrGaGoRastu,dIrGaGoRaH+tu
dIrGataraM nyaSvasIt,dIrGataram+nyaSvasIt
dIrGatvaM keSavasya,dIrGatvam+keSavasya
dIrGabAhurjalAntaka,dIrGabAhuH+jalAntaka
dIrGamaDvAnam,dIrGam+aDvAnam
dIrGamAyAnvitaM kftvA,dIrGamAyAnvitam+kftvA
dIrGamuzRaM,dIrGam+uzRaM
dIrGamuzRam,dIrGam+uzRam
dIrGamekasya,dIrGam+ekasya
dIrGastribinduH,dIrGaH+tribinduH
dIrGasvarEstu,dIrGasvarEH+tu
dIrGARyaNgAni,dIrGARi+aNgAni
dIrGAyurBava,dIrGAyuH+Bava
dIrGAyurBavizyati,dIrGAyuH+Bavizyati
dIrGAyuzo narAH,dIrGAyuzaH+narAH
dIrGAyuzwveti,dIrGAyuzwvA+iti
dIrGASca,dIrGAH+ca
du,KaM+dviguRitam
du,KamapAkartuM+Saknuma
du,KamahaM+samyak
duHKakaramaBUt,duHKakaram+aBUt
duHKagirireva,duHKagiriH+eva
duHKajanaka ityarTaH,duHKajanakaH+ityarTaH
duHKajanakatvamavinABAvitvam,duHKajanakatvam+avinABAvitvam
duHKajanakaduHKaprAgaBAvasyEva,duHKajanakaduHKaprAgaBAvasya+eva
duHKajanakABAvasyApi,duHKABAvasya+eva
duHKajanmapravfttidozamiTyAjYAnAnAmuttarottarApAye,duHKajanmapravfttidozamiTyAjYAnAnAm+uttarottarApAye
duHKatvAditi,duHKatvAt+iti
duHKaDvaMsaprAgaBAvasyeti,duHKaDvaMsaprAgaBAvasya+iti
duHKaDvaMsasAmAnyAntargata,duHKaDvaMsasAmAnya+antargata
duHKaDvaMsastasya,duHKaDvaMsaH+tasya
duHKaDvaMsasyApi,duHKaDvaMsasya+api
duHKanizWacaramatvaM jAtiviSezaH,duHKanizWacaramatvam+jAtiviSezaH
duHKaparihArArTameva,duHKaparihArArTam+eva
duHKaprada eva,duHKapradaH+eva
duHKaprAgaBAvasattva ityarTaH,duHKaprAgaBAvasattve+ityarTaH
duHKaprAgaBAvasattvamityarTaH,duHKaprAgaBAvasattvam+ityarTaH
duHKaprAgaBAvasyEva,duHKaprAgaBAvasya+eva
duHKaprAgaBAvAdityarTaH,duHKaprAgaBAvAt+ityarTaH
duHKaprAgaBAvAsattve'pi,duHKaprAgaBAvAsattve+api
duHKaprAgaBAvAsamAnakAlIneti,duHKaprAgaBAvAsamAnakAlIna+iti
duHKaBAN na,duHKaBAk+na
duHKaBAjo Bavanti,duHKaBAjaH+Bavanti
duHKamanuBUtavAn,duHKam+anuBUtavAn
duHKamanvaBavat,duHKam+anvaBavat
duHKamayamanityaM,duHKamayam+anityaM
duHKamAsIt,duHKam+AsIt
duHKamityanuvartate,duHKam+ityanuvartate
duHKavargAntaHpAtitvAdduHKaheturuktaH,duHKavargAntaHpAtitvAt+duHKaheturuktaH
duHKaviSezaRatvAcca,duHKaviSezaRatvAt+ca
duHKaviSezavizayakaBogAnukUlapAtityavAniti,duHKaviSezavizayakaBogAnukUlapAtityavAn+iti
duHKavfttijAtitvaM na,duHKavfttijAtitvam+na
duHKavyAptamiti,duHKavyAptam+iti
duHKaSabdavAcyamiti,duHKaSabdavAcyam+iti
duHKasantapto jAtaH,duHKasantaptaH+jAtaH
duHKasADanamiti,duHKasADanam+iti
duHKasyAnto Bavizyati,duHKasyAntaH+Bavizyati
duHKahetutvAditi,duHKahetutvAt+iti
duHKAdihetutve'pi,duHKAdihetutve+api
duHKAnutpAdasyEva,duHKAnutpAdasya+eva
duHKAnuzaMgAdduHKam,duHKAnuzam+gAdduHKam
duHKAnyanuBUtAni,duHKAni+anuBUtAni
duHKAnyanuBUya,duHKAni+anuBUya
duHKAnyapAkftya,duHKAni+apAkftya
duHKABAvArTitayetyarTaH,duHKABAvArTitayA+ityarTaH
duHKABAve'tra,duHKABAve+atra
duHKArjjitEryaH,duHKArjjitEH+yaH
duHKArtamanasA'smAn,duHKArtamanasA+asmAn
duHKArtamasahAyakam,duHKArtam+asahAyakam
duHKAsamAnakAlInaduHKa,duHKa+asamAnakAlInaduHKa
duHKitajanAnAkArya,duHKitajanAn+AkArya
duHKitamanA maDyabudDiH,duHKitamanAH+maDyabudDiH
duHKitA aBavan,duHKitAH+aBavan
duHKitA Asan,duHKitAH+Asan
duHKito BUtvA,duHKitaH+BUtvA
duHKinastasya,duHKinaH+tasya
duHKino'Bavan,duHKinaH+aBavan
duHKEstaptAn,duHKEH+taptAn
duHKopahato na,duHKopahataH+na
duHSakameva,duHSakam+eva
duHSakyaM te,duHSakyam+te
duHSAsanenoktaH,duHSAsanena+uktaH
duHsamADyeyeti,duHsamADyeya+iti
duHsTaHpuruza iti,duHsTaHpuruzaH+iti
duHsTasyA'pi,duHsTasya+api
dukUlAnAmalaNkArARAM,dukUlAnAm+alaNkArARAM
dugDacUrRamapi,dugDacUrRam+api
dugDapratiyogikaviBAgAnuyogitvAtmakaM tayA,dugDapratiyogikaviBAgAnuyogitvAtmakam+tayA
dugDamapibat,dugDam+apibat
dugDaDavalaSayyAyAM svacCaparicCadA,dugDaDavalaSayyAyAm+svacCaparicCadA
dugDaDAreva,dugDaDArA+iva
dugDabindurapi,dugDabinduH+api
dugDamuKamimam,dugDamuKam+imam
duduhurDaritrIm,duduhuH+DaritrIm
dunivacatvAditi,durnirvacatvAt+iti
dunotIva,dunoti+iva
dunduBayo neduH,dunduBayaH+neduH
dunduBayo vAditAH,dunduBayaH+vAditAH
dunduBiGozastu,dunduBiGozaH+tu
duradfzwajanakatvAditi,duradfzwajanakatvAt+iti
duranta eva,durantaH+eva
durapanhavatvAditi,durapanhavatvAt+iti
duraBisanDinA'kAla,duraBisanDinA+akAla
durAgrahavantamapi,durAgrahavantam+api
durAgrahavAnAsIt,durAgrahavAn+AsIt
durAgrahiRo vipadyante,durAgrahiRaH+vipadyante
durAtmano mama,durAtmanaH+mama
durAtmano'sya,durAtmanaH+asya
durAtmArizwarzaBaH,durAtmA+arizwarzaBaH
durAtmeti,durAtmA+iti
duritaDvaMsa iti,duritaDvaMsaH+iti
duritaDvaMsasyApi,duritaDvaMsasya+api
duritanASatvAvacCinnaM prati,duritanASatvAvacCinnam+prati
duritabadBinnaduritaDvasatvA,duritavat+BinnaduritaDvasatvA
duritavadBinnaduritaDvaMsasyEva,duritavadBinnaduritaDvaMsasya+eva
duruktaM BavatA,duruktam+BavatA
durupagamatvAditi,durupagamatvAt+iti
durUdDaratvamiti,durUdDaratvam+iti
durUhakamasti,durUhakam+asti
durgatirBavati,durgatiH+Bavati
durganDapUrRASca,durganDapUrRAH+ca
durganDamudvamatAM kaNkAlaSezARAM kaNkAlaSezARAM rogiRAM rogiRAM du,KagATAM+du
durgamapradeSAnavatIrya,durgamapradeSAn+avatIrya
durgamapradeSe'pi,durgamapradeSe+api
durgasya upari,durgasya+upari
durgAM namAmi,durgAm+namAmi
durgAntare'parudDAH,durgAntare+aparudDAH
durgApuraprItiM parityaktavAn,durgApuraprItim+parityaktavAn
durjanasaNgati apakAraH,durjanasaNgatiH+apakAraH
durjanAnAmaDipatye,durjanAnAm+aDipatye
durjayaHhiM Ru,durjayaHhim+Ru
durjayaSca,durjayaH+ca
durjayendriyajetAro jagati,durjayendriyajetAraH+jagati
durjeyatvAcca,durjeyatvAt+ca
durdaSA'nuBUyate,durdaSA+anuBUyate
durdAntadAnavAnAmiva,durdAntadAnavAnAm+iva
durdinamunnamitam,durdinam+unnamitam
durdEvanihatabudDivEBavo mArIcaM,durdEvanihatabudDivEBavaH+mArIcaM
durDiyo janAH,durDiyaH+janAH
durnAmagulmaSoPAdayo gadAH,durnAmagulmaSoPAdayaH+gadAH
durbalatvameva,durbalatvam+eva
durbalatvAditi,durbalatvAt+iti
durbalaSca,durbalaH+ca
durbalAByAmapi,durbalAByAm+api
durbalo bADyate,durbalaH+bADyate
durbalo'BIkzRaM,durbalaH+aBIkzRaM
durBAgyapUrRamidam,durBAgyapUrRam+idam
durBikzaM takzati,durBikzam+takzati
durmitriyeti,durmitriyA+iti
durmuKamavetya,durmuKam+avetya
durmuKo madupari,durmuKaH+madupari
duryoDanaHTaM kaTam,duryoDanaHTam+kaTam
duryoDanaHTaM yAsyati,duryoDanaHTam+yAsyati
duryoDanaHiM karizyati,duryoDanaHim+karizyati
duryoDanaHimiti,duryoDanaHim+iti
duryoDanaHeSava iti,duryoDanaHeSavaH+iti
duryoDanamamarzaRam,duryoDanam+amarzaRam
duryoDanamuKaM Satam,duryoDanamuKam+Satam
duryoDanamupadizwavAn,duryoDanam+upadizwavAn
duryoDanAdIMSca,duryoDanAdIn+ca
duryoDanAvaSeze,duryoDana+avaSeze
duryoDanenAtatakArmukeRa,duryoDanena+AtatakArmukeRa
duryoDano jatugfhe,duryoDanaH+jatugfhe
duryoDano duSSAsanaH,duryoDanaH+duSSAsanaH
durlaBatvApatteriti,durlaBatvApatteH+iti
durlaBamaBavat,durlaBam+aBavat
durlaBamiti,durlaBam+iti
durlaBasaNgo'yaM,durlaBasaNgaH+ayaM
durvacatvAcca,durvacatvAt+ca
durvacatvAditi,durvacatvAt+iti
durvacanakapolatAqanavAditrAdInAM sADanAnupayogitvena,durvacanakapolatAqanavAditrAdInAm+sADanAnupayogitvena
durvAratayetyarTaH,durvAratayeti+arTaH
durvAratvAditi,durvAratvAt+iti
durvAramiti,durvAram+iti
durvAramityata,durvAram+ityata
durvArameva,durvAram+eva
durvArAracca,durvArAt+ca
durvArtAmetAM,durvArtAm+etAM
durviDa iva,durviDaH+iva
durviDaprAyo'pi,durviDaprAyaH+api
durvilasitamiti,durvilasitam+iti
durvfttASca,durvfttAH+ca
durvyavahArapUrRamAcaraRaM,durvyavahArapUrRam+AcaraRaM
durvvAsasaSca,durvvAsasaH+ca
duSSakameva,duSSakam+eva
duSSAsanaSca,duSSAsanaH+ca
duzkaraM kftam,duzkaram+kftam
duzkaraM tapaH,duzkaram+tapaH
duzkaraM puzkare,duzkaram+puzkare
duzkaramAsIt,duzkaram+AsIt
duzkarARyapi,duzkarARi+api
duzkulAdapi,duzkulAt+api
duzkftaM kftam,duzkftam+kftam
duzkftamAtmanA,duzkftam+AtmanA
duzwatapastu,duzwatapaH+tu
duzwatvaprayojakasambanDasyEva,duzwatvaprayojakasambanDasya+eva
duzwatvavyavahAraprayojaka eva,duzwatvavyavahAraprayojakaH+eva
duzwanAmakarmodayaniyuktEzA,duzwanAmakarmodayaniyuktA+ezA
duzwabIjeneti,duzwabIjena+iti
duzwaBAvanfpastasya,duzwaBAvanfpaH+tasya
duzwamayogyaM,duzwam+ayogyaM
duzwamAmASayagataM,duzwam+AmASayagataM
duzwavetAlAstataH,duzwavetAlAH+tataH
duzwA jAtAH,duzwAH+jAtAH
duzwA durASayAH,duzwAH+durASayAH
duzwA na,duzwAH+na
duzwA BaratavasuDAM,duzwAH+BaratavasuDAM
duzwAcarite,duzwa+Acarite
duzwAnapi,duzwAn+api
duzwAneva,duzwAn+eva
duzwABiprAyAdikErmohasEnikEH,duzwABiprAyAdikEH+mohasEnikEH
duzwASvo nEva,duzwASvaH+nEva
duzwo Bavizyati,duzwaH+Bavizyati
duzwo'yaM,duzwaH+ayaM
duzpariRAmamapi,duzpariRAmam+api
duzpariharameva,duzpariharam+eva
duzkaramiva,duzkaram+iva
duzkarmeha,duzkarma+iha
duzyantaSakuntalayorBUmike,duzyantaSakuntalayoH+BUmike
duzyantaSakuntalayorvArtAlApe,duzyantaSakuntalayoH+vArtAlApe
dustaraBavakAntArAdanivfttAH,dustaraBavakAntArAt+anivfttAH
dustaraSca,dustaraH+ca
dUtamaNgadaM,dUtam+aMgadaM
dUtamuKAnmayA,dUtamuKAt+mayA
dUtamuKenEva,dUtamuKena+eva
dUtavAkyaM samAptam,dUtavAkyam+samAptam
dUtasamudAcAramatikrAntaH,dUtasamudAcAram+atikrAntaH
dUtasamudAcAreRopasTitaH,dUtasamudAcAreRa+upasTitaH
dUtAyAkaTayat,dUtAya+akaTayat
dUto nagarasamAcAragrahaRArTaM,dUtaH+nagarasamAcAragrahaRArTaM
dUraM gatvA,dUram+gatvA
dUrataramAsIt,dUrataram+AsIt
dUratastyAjyA,dUrataH+tyAjyA
dUrato dfzwaH,dUrataH+dfzwaH
dUrato naSyati,dUrataH+naSyati
dUrato'nayat,dUrataH+anayat
dUrato'valokitena,dUrataH+avalokitena
dUradfzwABAvo'pi,dUradfzwABAvaH+api
dUramapasara,dUram+apasara
dUrasTAmapi,dUrasTAm+api
dUrAdapi,dUrAt+api
dUrAdeva,dUrAt+eva
dUre'vatizWeta,dUre+avatizWeta
dUrotsAritameva,dUrotsAritam+eva
dUrvAkzatESca,dUrvAkzatEH+ca
dUrvAratvAditi,dUrvAratvAt+iti
dUzakatAbIjatvABAvamaNgIkarotiastu,dUzakatAbIjatvABAvam+aNgIkarotiastu
dUzakatAbIjaBeda iti,dUzakatAbIjaBedaH+iti
dUzakatAbIjaBedasyEva,dUzakatAbIjaBedasya+eva
dUzakatAbIjamiti,dUzakatAbIjam+iti
dUzakatAbIjeti,dUzakatAbIja+iti
dUzakatAyAmiti,dUzakatAyAm+iti
dUzakatEva,dUzakatA+eva
dUzakatvamiti,dUzakatvam+iti
dUzakatvA'saMBavAt,dUzakatva+asaMBavAt
dUzaRaM pratyuktam,dUzaRam+pratyuktam
dUzaRaM vijYeyam,dUzaRam+vijYeyam
dUzaRagranTAsaMgatiriti,dUzaRagranTAsaMgatiH+iti
dUzaRatvamiti,dUzaRatvam+iti
dUzaRamatra,dUzaRam+atra
dUzaRamAtrajYAnaM pratibanDakam,dUzaRamAtrajYAnam+pratibanDakam
dUzaRamAha,dUzaRam+Aha
dUzaRamiti,dUzaRam+iti
dUzaRamida,dUzaRam+ida
dUzaRamupacAreRa,dUzaRam+upacAreRa
dUzaRAdikamaBidaDAti,dUzaRAdikam+aBidaDAti
dUzaRAnupapattiriti,dUzaRAnupapattiH+iti
dUzaRAntaramAha,dUzaRAntaram+Aha
dUzaReti,dUzaRa+iti
dUzaRopADimAtrasyEva,dUzaRopADimAtrasya+eva
dUzayatievamiti,dUzayatievam+iti
dUzayatipratyekamiti,dUzayatipratyekam+iti
dUzayativastutastviti,dUzayativastutastu+iti
dUzayativipakzeti,dUzayativipakza+iti
dUzayatisyaciditi,dUzayatisyacit+iti
dUzayatisvarUpayogyateti,dUzayati—svarUpayogyatA+iti
dUzayantyuBaye,dUzayanti+uBaye
dUzayituM,Sakyam+iti
dUzayitumanuBAzate,dUzayitum+anuBAzate
dUzayitumupanyasyati,dUzayitum+upanyasyati
dUzikAdInapi,dUzikAdIn+api
dUzitatvAcca,dUzitatvAt+ca
dUzitamapi,dUzitam+api
dUzito baBUva,dUzitaH+baBUva
dUzyASca,dUzyAH+ca
dfkpaTamAgataH,dfkpaTam+AgataH
dfkpAtamakarot,dfkpAtam+akarot
dfksTamAlocakaM,dfksTam+AlocakaM
dfggocaramaBUt,dfggocaram+aBUt
dfggocaro BavAmi,dfggocaraH+BavAmi
dfgdOrbalye'nile,dfgdOrbalye+anile
dfQaM nihanmi,dfQam+nihanmi
dfQaM vijYAtam,dfQam+vijYAtam
dfQatayA'vocam,dfQatayA+avocam
dfQataramAsIt,dfQataram+AsIt
dfQatAmApadyate,dfQatAm+Apadyate
dfQapramARopalakzaRapara iti,dfQapramARopalakzaRaparaH+iti
dfQamavaDAraya,dfQam+avaDAraya
dfQamavaDAryaM,dfQam+avaDAryaM
dfQasaNkalpaM kftvA,dfQasaNkalpam+kftvA
dfQendriyo mandajaraH,dfQendriyaH+mandajaraH
dfSya iti,dfSyaH+iti
dfSyaBAvasamavAyayorgrahaRam,dfSyaBAvasamavAyayoH+grahaRam
dfSyamanuBUtam,dfSyam+anuBUtam
dfSyamAnamityatra,dfSyamAnam+ityatra
dfSyaSarIrAvacCinna ityarTaH,dfSyaSarIrAvacCinnaH+ityarTaH
dfSyenAnena,dfSyena+anena
dfSyaM jAlAyitam,dfSyam+jAlAyitam
dfSyaM didfkzanti,dfSyam+didfkzanti
