yasmAjjAyate,yasmAt+jAyate
nADunA,na+aDunA
rakzitumapAryata,rakzitum+apAryata
saH hi,saH+hi
tvaritaM pratyUce,tvaritam+pratyUce
sa eva,saH+eva
sannapfcCat,san+apfcCat
kimuktaM,kim+uktam
sa kIdfSa,saH+kIdfSa
bfhadaBiDAne,bfhad+aBiDAne
drazwumicCAmi,drazwum+icCAmi
samupetyEva,samupetya+eva
kElASamAhvayat,kElASam+Ahvayat
prAvadacca,prAvadat+ca
etattu,etat+tu
vizamamupasTitam,vizamam+upasTitam
yasminsa,yasmin+saH
tadDi,tat+hi
BavettaTA,Bavet+taTA
pustakamanyata,pustakam+anyata
kuto'pi,kutaH+api
yadAjYApayanti,yadA+AjYApayanti
SrImadBirapi,SrImadBiH+api
vaNgIyapaRqitasyEkasya,vaNgIyapaRqitasya+ekasya
tatsTalaM,tat+sTalam
sarvopi,sarvaH+api
nAsIt,na+AsIt
nyapatadvarAka,nyapatat+varAka
samAgatyEva,samAgatya+eva
bahutaramapfcCat,bahutaram+apfcCat
vismayaM prakASayanta,vismayam+prakASayanta
nEvaMviDa,na+evaMviDa
saMpUrRe'pi,saMpUrRe+api
sAMmuKyaM yatnena,sAMmuKyam+yatnena
saBayamacintayat,saBayam+acintayat
cedaDyakzamahodayo,cet+aDyakzamahodayaH
kimahaM,kim+aham
puRqarIkapARqeyo'pfcCat,puRqarIkapARqeyaH+apfcCat
ayaM capaRquka,ayam+capaRquka
kadAcidAkarRita,kadAcid+AkarRita
miSramahodayo'tIva,miSramahodayaH+atIva
sannapfcCat,san+apfcCat
Sabdo Bavate,SabdaH+Bavate
samAgatyA'pfcCan,samAgatya+apfcCan
yadayaM,yat+ayam
BavatsakASAcCruta,BavatsakASAt+SrutaH
nAyaM,na+ayam
kuhacitprApyeta,kuhacit+prApyeta
miSrastUzRImAsIt,miSrastUzRIm+AsIt
etAvatEva,etAvata+eva
keyaM,kA+iyam
navInA''pat,navInA+Apat
rUkzatayA'vadat,rUkzatayA+avadat
nAhaM,na+aham
vismayakaramidam,vismayakaram+idam
paScAcca,paScAt+ca
niziDyatinAhaM,niziDyatina+aham
jAnAmIti,jAnAmi+iti
yadayaM,yat+ayam
so'vadat,saH+avadat
muDA'pavadanti,muDA+apavadanti
saMmuKe'milat,saMmuKe+amilat
anukUladEvavaSAnna,anukUladEvavaSAt+na
kaScidvidyArTI,kaScit+vidyArTI
ko'rTa,kaH+arTa
siMhagarjanayA'vAdIt,siMhagarjanayA+avAdIt
vidyArTyasO,vidyArTI+asO
hrItaBIto'Bavat,hrItaBItaH+aBavat
patramekaM,patram+ekam
tadDaste'dAt,tadDaste+adAt
AsIttatra,AsIt+tatra
ito'gre,itaH+agre
KaRqaKaRqAnyakarot,KaRqaKaRqAni+akarot
mahAvidyAlayasyA'sya,mahAvidyAlayasya+asya
hastagatamakriyata,hastagatam+akriyata
capaRqukamahodayA gacCanti,capaRqukamahodayAH+gacCanti
BittirevaMviDA,BittiH+evaMviDA
nAsIdyatra,nAsIt+atra
nANkita,na+aNkita
SanEranyezAM,SanEH+anyezAm
kasyacidvidyArTina,kasyacit+vidyArTina
patramaDyakzasya,patram+aDyakzasya
maDyeBavanameva,maDyeBavanam+eva
sarvEreva,sarvEH+eva
duzkaramaBUt,duzkaram+aBUt
miSramahodayenEkadA,miSramahodayena+ekadA
kElASamAhUya,kElASam+AhUya
tvaM me,tvam+me
ahaM ca,aham+ca
evaM satyapi,evam+satyapi
sAmprataM mitraBAvena,sAmpratam+mitraBAvena
tvAM pfcCAmi,tvAm+pfcCAmi
bfhadaBiDAnasya,bfhad+aBiDAnasya
vilokito'BUt,vilokitaH+aBUt
paramidAnIM,param+idAnIm
kasminnapi,kasmin+api
dEnyaBAvenAnena,dEnyaBAvena+anena
nirvyAjaBAvenA'vAdIt,nirvyAjaBAvena+avAdIt
bfhadaBiDAne,bfhad+aBiDAne
capaRqukaSabdo'sti,capaRqukaSabdaH+asti
hyekasmin,hi+ekasmin
prabanDaM kftvA,prabanDam+kftvA
kozo navInatayA,kozaH+navInatayA
mudrApito yena,mudrApitaH+yena
sa Sabda,saH+Sabda
sarvamapi,sarvam+api
saMdeho na,saMdehaH+na
sarve'pi,sarve+api
kimiti,kim+iti
yadahaM,yad+aham
vyasanamidaM,vyasanam+idam
nAgre,na+agre
pratipadavakASadine,pratipad+avakASadine
prabanDo'sti,prabanDaH+asti
BavAnapi,BavAn+api
ahamekAkI,aham+ekAkI
nAgantuM,na+Agantum
caRqIprasAdasadAnandAvapi,caRqIprasAdasadAnandO+api
asminkarmaRi,asmin+karmaRi
tAvapi,tO+api
mudraRavyayo'pi,mudraRavyayaH+api
vidyArTino'pi,vidyArTinaH+api
sasmitamavocat,sasmitam+avocat
kintvapUrvamidaM,kintupUrvam+idam
kiM bahunA,kim+bahunA
sOmyAkftidarSanamAtreREva,sOmyAkftidarSanamAtreRa+eva
prAtarAraBya,prAtaH+AraBya
upavizwa Aste,upavizwaH+Aste
parasparaM kaTayanti,parasparam+kaTayanti
lakzADISA Asan,lakzADISAH+Asan
parisTitimanuBavati,parisTitim+anuBavati
AsIdeka,AsIt+eka
nizadyASca,nizadyAH+ca
BUmerapi,BUmeH+api
saptatigrAmARAmaDISatvaM,saptatigrAmARAm+aDISatvam
purARapuruzapatnIyaM,purARapuruzapatnI+iyam
BartAramapi,BartAram+api
Bajeteti,Bajet+iti
asyAScAYcalyaM,asyAH+cAYcalyam
vijYAyEva,vijYAya+eva
anarTaparamparAM Bajante,anarTaparamparAm+Bajante
kAlakarAlatvaM kena,kAlakarAlatvam+kena
sucaritasyApi,sucaritasya+api
BavantIti,Bavanti+iti
vilayaM gatA,vilayam+gatA
vipattimasahamAno,vipattim+asahamAnaH
mohanadevamekAkinaM,mohanadevam+ekAkinam
cAsIt,ca+AsIt
BAratIyaramaRInAmAdarSa,BAratIyaramaRInAm+AdarSa
draviRamapi,draviRam+api
brAhmaRAnAM daSasAhasrI,brAhmaRAnAm+daSasAhasrI
BojanArTamAhUtA,BojanArTam+AhUtA
pfTageva,pfTag+eva
kiM kuryAt,kim+kuryAt
samAje'smin,samAje+asmin
nivasato mAnavasya,nivasataH+mAnavasya
svasidDAntarakzaRaM kIdfk,svasidDAntarakzaRam+kIdfk
sambanDiBirgrAmasya,sambanDiBiH+grAmasya
pratizWitESca,pratizWitEH+ca
puruzEraBihitam,puruzEH+aBihitam
svarUpayogyaM Bavet,svarUpayogyam+Bavet
dravyamarjayati,dravyam+arjayati
pratizWAM rakzatA,pratizWAm+rakzatA
kimanena,kim+anena
Bavedeva,Bavet+eva
BUriBojanAdeva,BUriBojanAd+eva
kiYcidapi,kiYcid+api
BUzaRAdyavartizWa,BUzaRAdi+avartizWa
sarvaM vikrIya,sarvam+vikrIya
kftaM pitu,kftam+pitu
BojanaM tena,Bojanam+tena
idAnIM nirvAhaprabanDa,idAnIm+nirvAhaprabanDa
kaTaM kartavyaH,kaTam+kartavyaH
vyApArArTaM Bavati,vyApArArTam+Bavati
draviRarASerAvaSyakatA,draviRarASeH+AvaSyakatA
tadarTamapi,tadarTam+api
kaTaM prabanDa,kaTam+prabanDa
kasminnapi,kasmin+api
vicAraparamparAyAM tasya,vicAraparamparAyAm+tasya
dEvAdeka,dEvAd+eka
SIGrameva,SIGram+eva
AyavyayaleKakasyEkasya,AyavyayaleKakasya+ekasya
saMjAtAvaSyakatA,saMjAta+AvaSyakatA
kaTamapi,kaTam+api
Baviteti,BavitA+iti
jYAtuM kenApi,jYAtum+kenApi
DanikasyEkAkinI,Danikasya+ekAkinI
saMjAtamiti,saMjAtam+iti
dAsIdAsAdayaSca,dAsIdAsAdayaH+ca
DanikagfhasTasyAvaSyakAni,DanikagfhasTasya+AvaSyakAni
jIvanakAlepi,jIvanakAle+api
susampannAyEva,susampannA+eva
tasyAsIt,tasya+AsIt
nirvoQo'pi,nirvoQaH+api
liKitamapi,liKitam+api
vAradvayamudarapUrtimAtraBojanasya,vAradvayam+udarapUrtimAtraBojanasya
kaTApi,kaTA+api
cEkaM,ca+ekam
nAsti,na+asti
kiM brUma,kim+brUma
dIpaprajvalanamapi,dIpaprajvalanam+api
dfSyata iti,dfSyate+iti
dOrAtmyaM BAgaDeyasya,dOrAtmyam+BAgaDeyasya
prAtarutTAyaM,prAtaH+utTAya
BojanAdikAryErnivftya,BojanAdikAryEH+nivftya
gfhamAyAti,gfham+AyAti
SaraRamupayAti,SaraRam+upayAti
cOdAsInyena,ca+OdAsInyena
evASaraRaSaraRadAyA,eva+ASaraRaSaraRadAyA
tadAgamanakAmuka Aste,tadAgamanakAmukaH+Aste
taM na,tam+na
samupAgamaccirAya,samupAgamat+cirAya
SrOtasidDAntamanAdftya,SrOtasidDAntam+anAdftya
sa eva,saH+eva
sa eva,saH+eva
tasyAsan,tasya+Asan
saKyamiti,saKyam+iti
adyAsti,adya+asti
so'kiYcana,saH+akiYcana
militezvasmAsu,militezu+asmAsu
kadAcidyAceta,kadAcit+yAceta
sosmatta,saH+asmatta
kAryAlayagamanamantarA,kAryAlayagamanam+antarA
kevalaM prativeSina,kevalam+prativeSina
kadAcidayate,kadAcid+ayate
etAdfSyAM parisTitO,etAdfSyAm+parisTitO
kaTaM nAma,kaTam+nAma
Bavettasya,Bavet+tasya
cintitaM tena,cintitam+tena
mamodvAhe,mama+udvAhe
paYcadaSahAyanamupaBuNkte,paYcadaSahAyanam+upaBuNkte
Sakyate'DunA,Sakyate+aDunA
gfhakAryaM nirvoum,gfhakAryam+nirvoum
kAryaBAropi,kAryaBAraH+api
laGutAmiyAt,laGutAm+iyAt
samayayApanepi,samayayApane+api
tvavyAjamitraM,tu+avyAjamitram
BUvannanyAni,BUvan+anyAni
cintayitumAreBe,cintayitum+AreBe
mAmakiYcanaM,mAm+akiYcanam
mAtApitarAveva,mAtApitarO+eva
sakASAdavakASaM,sakASAt+avakASam
grahIzyAmIti,grahIzyAmi+iti
kaTamapi,kaTam+api
tAdfSamudAsInaM,tAdfSam+udAsInam
mohamupagata,moham+upagata
piturgfhe,pituH+gfhe
vilAsaBAvamanuBavantI,vilAsaBAvam+anuBavantI
manasApi,manasA+api
gfhakAryavyApftayEva,gfhakAryavyApftA+eva
tayA'BUyata,tayA+aBUyata
niyatamupacacAra,niyatam+upacacAra
kiYcidapi,kiYcid+api
tenEva,tena+eva
nItvApi,nItvA+api
jfmBAmapi,jfmBAm+api
BfSamakupyat,BfSam+akupyat
nissAryase'nena,nissAryase+anena
nAyaM,na+ayam
uccADikArizvapi,uccADikArizu+api
kasyApi,kasya+api
dinaM vyatIyAt,dinam+vyatIyAt
taM na,tam+na
kftvApi,kftvA+api
kadAcidaBartsito,kadAcid+aBartsitaH
gehamupayAti,geham+upayAti
vikalateti,vikalatA+iti
nAsuKasya,na+asuKasya
reKApi,reKA+api
samudiyAditi,samudiyAd+iti
yAvacCakyaM,yAvat+Sakyam
BuktvottizWati,BuktvA+uttizWati
maDurasvareRAvocat,maDurasvareRa+avocat
nADunA,na+aDunA
punarBavAn,punaH+BavAn
rUkzamapi,rUkzam+api
BavatIti,Bavati+iti
pratyahaM,prati+aham
BajamAnamavalokya,BajamAn+avalokya
cinteti,cintA+iti
mandasmitamavAdIt,mandasmitam+avAdIt
dfzwAyAM cetasi,dfzwAyAm+cetasi
padaM nidaDAti,padam+nidaDAti
yAdfSaM dIyate,yAdfSam+dIyate
BojanaM Danikezu,Bojanam+Danikezu
karuRotpAdakamidaM,karuRotpAdakam+idam
vAkyamAkarRya,vAkyam+AkarRya
bAlyakAlikAsmftirajAgarIt,bAlyakAlikAsmftiH+ajAgarIt
tatkzaRameva,tatkzaRam+eva
kazwamanuDyAyantI,kazwam+anuDyAyantI
SanEraYcalena,SanEH+aYcalena
pramfjyASrURi,pramfjya+aSrURi
jIvannaro BadraSatAni,jIvannaraH+BadraSatAni
asmAkaM sudivasA,asmAkam+sudivasA
AgacCeyureva,AgacCeyuH+eva
viDure'pi,viDure+api
sTitimApnuyAt,sTitim+ApnuyAt
nItivacanaM ca,nItivacanam+ca
ittTaM samASiSvasat,ittTam+samASiSvasat
gatirjagadISvarasya,gati+jagadISvarasya
yadeva,yad+eva
kAraRamAsIt,kAraRam+AsIt
kaSAGAtamahan,kaSAGAtam+ahan
kimiyaM,kim+iyam
kftvApi,kftvA+api
vayamapi,vayam+api
hfdayamapi,hfdayam+api
vartate'smAsu,vartate+asmAsu
tamatAqayat,tam+atAqayat
SvosiGAtaM,SvaH+asiGAtam
nEtat,na+etat
Bavateti,BavatA+iti
karuRArdrahfdayaM na,karuRArdrahfdayam+na
kartumaSakat,kartum+aSakat
nikzipedAtmAnam,nikzipet+AtmAnam
kaWinamapi,kaWinam+api
nAtmAvamAnanAM,na+AtmAvamAnanAm
SAntagamBIrepi,SAntagamBIre+api
kartumaSaktena,kartum+aSaktena
yaSopi,yaSaH+api
kAluzyamupeyAt,kAluzyam+upeyAt
gfhARedaM,gfhARa+idam
tattyAgapatraM,tat+tyAgapatram
tenADyakzakare,tena+aDyakzakare
yadAsO,yadA+asO
gfhamAgata,gfham+Agata
jyotirdarIdfzwaM,jyotiH+darIdfzwam
Bavato'BUtapUrvamuKamaRqalAkftidarSanena,BavataH+aBUtapUrvamuKamaRqalAkftidarSanena
me'parADaityuktvA,me+aparADaityuktvA
kimadya,kim+adya
kimunnataM,kim+unnatam
kAryaBAro vA,kAryaBAraH+vA
laGutAmiyAt,laGutAm+iyAt
ekatamamanuminomi,ekatamam+anuminomi
kimadya,kim+adya
kAcidDAni,kAcit+hAni
nyUnatAmaBajata,nyUnatAm+aBajata
keyaM,kA+iyam
tUrRaM me,tUrRam+me
saMdeho nirAkaraRIyaH,saMdehaH+nirAkaraRIyaH
kimayaM,kim+ayam
Bavizyadasya,Bavizyat+asya
yadyahaM,yadi+aham
BaveyamekAkI,Baveyam+ekAkI
satyameva,satyam+eva
nAsti,na+asti
AnDyamupayAti,AnDyam+upayAti
sTitimapi,sTitim+api
tamavalokya,tam+avalokya
jYAtamadya,jYAtam+adya
kApi,kA+api
pUrvato'pi,pUrvataH+api
samajanIti,samajani+iti
prAgeva,prAk+eva
prapaYcoyaM,prapaYcaH+ayam
evamanuSocantI,evam+anuSocantI
kAraRamasya,kAraRam+asya
vadatIti,vadati+iti
mugDAsi,mugDA+asi
yatpuro,yat+puraH
me'BinnaM,me+aBinnam
kevalamiyatI,kevalam+iyatI
dattvAByAgAm,dattvA+aByAgAm
mAmAhlAdayati,mAm+AhlAdayati
kiM mayA,kim+mayA
kftamiti,kftam+iti
keyaM,kA+iyam
SukASca,SukAH+ca
mayUrAScitritA,mayUrAH+citritA
viDAsyatIti,viDAsyati+iti
ciraparicitaM padyam,ciraparicitam+padyam
AvayoScintAM,AvayoH+cintAm
vyApako'sti,vyApakaH+asti
BavatIti,Bavati+iti
tatrApi,tatra+api
kadAvalokitA,kadA+avalokitA
mohanahfdayAdapi,mohanahfdayAd+api
tadudantaM SrutvA,tadudantam+SrutvA
idamapi,idam+api
DEryyapradAnamapi,DEryyapradAnam+api
praDAnaM kartavyam,praDAnam+kartavyam
kasyAjYAyAM,kasya+AjYAyAm
punarmano,punaH+manaH
svatantrodyogenEva,svatantrodyogena+eva
vayamapi,vayam+api
tenEva,tena+eva
dravyamapekzate,dravyam+apekzate
BUzaRamekam,BUzaRam+ekam
tanniDAya,tat+niDAya
yatsamAgacCet,yat+samAgacCet
kAryaM kuru,kAryam+kuru
mohanenApi,mohanen+api
gfhAnAgatya,gfhAn+Agatya
punargata,punaH+gata
saptavAdanaparyantamupavizwa,saptavAdanaparyantam+upavizwa
kaScidAgacCati,kaScid+AgacCati
evamAsAyaM,evam+AsAyam
setumullaMGya,setum+ullaMGya
kiYcitkAlaM,kiYcit+kAlam
BagavantamASutozaM,Bagavantam+ASutozam
BojanAdiBirnivftya,BojanAdiBiH+nivftya
ekenAparicetena,ekena+aparicetena
puruzeRoktaM,puruzeRa+uktam
tenottaritammahASaya,tena+uttaritammahASaya
AgantunoktaM,AgantunA+uktam
tvaritamAyAhi,tvaritam+AyAhi
aBUtapUrvAmimAM,aBUtapUrvAm+imAm
sADvasamiva,sADvasam+iva
kimapyaparAdDaM,kimapi+aparAdDam
kasyApyahaM,kasyApi+aham
mAmAkArayituM,mAm+AkArayitum
kiSorImaBiDAya,kiSorIm+aBiDAya
gfhAnnisfta,gfhAn+nisfta
rAjAnamapaSyat,rAjAnam+apaSyat
so'pi,saH+api
kiYcitkAlAnantaraM,kiYcit+kAlAnantaram
sArdDamAgata,sArdDam+Agata
samupasTito'yaM,samupasTitaH+ayam
vikrIRIsIti,vikrIRIsi+iti
SravaRagocarIBUteti,SravaRagocarIBUtA+iti
tvamAhUta,tvam+AhUta
etAdfSamanucitaM,etAdfSam+anucitam
karozIti,karozi+iti
vicitramidaM,vicitram+idam
prApiteti,prApitA+iti
tenEva,tena+eva
kurvARo'haM,kurvARaH+aham
svapne'pi,svapne+api
aDArmikamAcaritaM,aDArmikam+Acaritam
tadetanmohanIyaM,tad+etanmohanIyam
kzOrakarmiRoktaM,kzOrakarmiRA+uktam
tvamasi,tvam+asi
samBavatIti,samBavati+iti
jAnAsiidamapi,jAnAsiidam+api
cArEratra,cArEH+atra
kimaviditaM,kim+aviditam
nAta,na+ata
karaRIyamIdfSaM,karaRIyam+IdfSam
SrImatAm ityuktvA,SrImatAm+ityuktvA
prajalpitaM tena,prajalpitam+tena
SrImatsevAyAmupatizWet,SrImatsevAyAm+upatizWet
nedaM,na+idam
nApitasyAruntudAni,nApitasya+AruntudAni
tamavalokya,tam+avalokya
BUyopyaBARi,BUyopi+aBARi
saMjAto'si,saMjAtaH+asi
prerito'sIti,preritaH+asIti
BavedavaSyaM,Baved+avaSyam
vaktumAreBe,vaktum+AreBe
kaWinamapi,kaWinam+api
sarvaTAhaM,sarvaTA+aham
ityardDokta,iti+ardDokta
manyamAno'yaM,manyamAnaH+ayam
satyamahaM,satyam+aham
svasftulyAsti,svasftulyA+asti
punaruktam,punaH+uktam
tvAmakiYcanaM,tvAm+akiYcanam
matvoktam,matvA+uktam
rAjakfpayAsya,rAjakfpayA+asya
kvEtAdfSam,kva+etAdfSam
Bartsayanniva,Bartsayan+iva
svayamanyAyakaraRe,svayam+anyAyakaraRe
rAjYAmapi,rAjYAm+api
kaTEva,kaTA+eva
kaTamidaM,kaTam+idam
sApi,sA+api
jAtasaMkopo rAjA,jAtasaMkopaH+rAjA
nEte,na+ete
kimare,kim+are
svaM kIdfg,svam+kIdfg
vayamapi,vayam+api
parisTitirAsIt,parisTitiH+AsIt
sEva,sA+eva
karizyatItiajYAtaBiyA,karizyati+itiajYAtaBiyA
tasyAkampata,tasya+akampata
kiYcidAvaSyakam,kiYcid+AvaSyakam
gfhamantarA,gfham+antarA
tasyEva,tasyA+eva
paYcadaSavarzIyAsIt,paYcadaSavarzIyA+AsIt
nApitena,na+apitena
mahArAjaSca,mahArAjaH+ca
kzudrasyEkasya,kzudrasya+ekasya
rAjyasyADipati,rAjyasya+aDipati
nAmAsIt,nAma+AsIt
DanikASca,DanikAH+ca
anirvacanIyAmavanatiM,anirvacanIyAm+avanatim
ityaharaha,iti+aharaha
sEva,sA+eva
tenEva,tena+eva
prApaRIyeti,prApaRIyA+iti
svapne'pi,svapne+api
cintitamAsIt,cintitam+AsIt
mayIyaM,mayA+iyam
vipattirapi,vipattiH+api
samApatiteti,samApatitA+iti
CidrezvanarTA,Cidrezu+anarTA
tayoktaM,tayA+uktam
keyaM,kA+iyam
BagavantamantarA,Bagavantam+antarA
so'smAkaM,saH+asmAkam
DArmikasyAsti,DArmikasya+asti
syAttadapi,syAt+tadapi
DarmArTamiti,DarmArTam+iti
padamakarot,padam+akarot
cintitamaBavat,cintitam+aBavat
sarito'paraBAge,saritaH+aparaBAge
gatAsIt,gatA+AsIt
kAryavaSAttatra,kAryavaSAt+tatra
punarAgamanasamaye,punaH+Agamanasamaye
sarvatrAvidyata,sarvatra+avidyata
setumullaMGya,setum+ullaMGya
taTEvAkasmAt,taTEva+akasmAt
prasAryoktam,prasArya+uktam
cAkasmikIM,ca+AkasmikIm
durGawanAmenAM,durGawanAm+enAm
dfzwvA'BEzwAm,dfzwvA+aBEzwAm
kzaRAdeva,kzaRAt+eva
ko'yaM,kaH+ayam
dUramapasara,dUram+apasara
yenAparastrIzu,yena+aparastrIzu
kroDayuktamapi,kroDayuktam+api
cAYcalyamudaBUt,cAYcalyam+udaBUt
dAso'yaM,dAsaH+ayam
manyamAnasyeyaM,manyamAnasya+iyam
eveti,eva+iti
vaktumAvaSyakatA,vaktum+AvaSyakatA
rAmAnanAsaktadfzwi,rAmAn+anAsaktadfzwi
Saraccandrapratimavadane,Saraccandrapratim+avadane
etacCrutvA,etat+SrutvA
kopastasyA,kopaH+tasyAH
BayaMkararUpamadaDAt,BayaMkararUpam+adaDAt
kampamaDAtAm,kampam+aDAtAm
apUrveyaM,apUrvA+iyam
paricito'si,paricitaH+asi
ko nAma,kaH+nAma
Bavitavyamiti,Bavitavyam+iti
mahendrasyApi,mahendrasya+api
sEva,sA+eva
vaktumAreBe,vaktum+AreBe
evamasADyavyADiM,evam+asADyavyADim
ekato'pasara,ekataH+apasara
ISvarAdapi,ISvarAd+api
balAnnirudDaya,balAt+nirudDaya
pratyAha,prati+Aha
utTAyEnAM,utTAya+enAm
mfttarayAne,mfttaH+ayAne
mAmanATAm,mAm+anATAm
tvameko,tvam+ekaH
leSo'pi,leSaH+api
samIpavartivartmagAmiByAmAgamya,samIpavartivartmagAmiByAm+Agamya
puruzAByAmAkroSantIM,puruzAByAm+AkroSantIm
striyamAkarzati,striyam+Akarzati
yAvatsa,yAvat+saH
BavettAvad,Bavet+tAvad
tamavalokya,tam+avalokya
mfto'sO,mftaH+asO
vipadasmAkaM,vipad+asmAkam
sameyAditi,sameyAd+iti
SIGramalakzitO,SIGram+alakzitO
vyatItAsIt,vyatItA+AsIt
itastato janA,itastataH+janA
ko'yaM,kaH+ayam
ko'sti,kaH+asti
abalAsvakramaRakArIti,abalAsvakramaRakArI+iti
puruzamekaM,puruzam+ekam
nAnyat,na+anyat
DAvamAnAnavalokya,DAvamAnAn+avalokya
svamAtmAnaM,svam+AtmAnam
janaravamAkarRya,janaravam+AkarRya
bahirAgato,bahiH+AgataH
patitamavalokya,patitam+avalokya
nAdeyaM,na+Adeyam
salilamAnIya,salilam+AnIya
muKe'pAtayat,muKe+apAtayat
mohanamavalokya,mohanam+avalokya
anenEva,anena+eva
pAtito daRqa,pAtitaH+daRqa
yAvadasya,yAvad+asya
samudiyAditi,samudiyAd+iti
yaTAkaTaMciduttTAya,yaTAkaTaMcid+uttTAya
mohanadevA'pi,mohanadevaH+api
gfhamAgata,gfham+Agata
tadAkarRya,tadA+AkarRya
harirevaM,hariH+evam
pAlayatIti,pAlayati+iti
nidrAparavaSo'BUt,nidrAparavaSaH+aBUt
mohanadevenoktam,mohanadevena+uktam
tvamasi,tvam+asi
tvatsamo'nya,tvatsamaH+anya
balAtpraviSya,balAt+praviSya
kenAvamarditA,kena+avamarditA
tasyAnujA,tasya+anujA
tattu,tat+tu
nAhaM,na+aham
dfzwipAto'pi,dfzwipAtaH+api
tenEva,tena+eva
vayamiti,vayam+iti
ko'yaM,kaH+ayam
viSezaprajalpanenAlam,viSezaprajalpanena+alam
cAyAhi,ca+AyAhi
hfdayamakampata,hfdayam+akampata
BAmApi,BAmA+api
AsIttatra,AsIt+tatra
pfzwo haradeva,pfzwaH+haradeva
dine'staMgate,dine+astaMgate
gfhItvAyaM,gfhItvA+ayam
mohano gehe,mohanaH+gehe
ahamAsamantarveSma,aham+AsamantarveSma
AkasmikamAkroSaM,Akasmikam+AkroSam
bahirAgate,bahiH+Agate
anenAsya,anena+asya
yAvaccEtanyaM,yAvat+cEtanyam
tAvadrAjakIyAMglOzaDAlaye,tAvat+rAjakIyAMglOzaDAlaye
svamadarSam,svam+adarSam
yalliKitaM,yat+liKitam
vAcitameva,vAcitam+eva
nAta,na+ata
kimapyahaM,kimapi+aham
dInabanDo,dInabanDaH+
tatrAgacCeyu,tatra+AgacCeyu
kalpanApi,kalpanA+api
BayamutpAdayati,Bayam+utpAdayati
BagavatEva,BagavatA+eva
sAkziBirapi,sAkziBiH+api
mohanenoktam,mohanena+uktam
sarvavyApako'sO,sarvavyApakaH+asO
paSyatIti,paSyati+iti
kiYcitsatyaM,kiYcit+satyam
mamApi,mama+api
kftasyopakArasya,kftasya+upakArasya
kimIdfSI,kim+idfSI
kimasti,kim+asti
haradevoktamasatyaM,haradevoktam+asatyam
bahirAgate,bahiH+Agate
punarevaM,punaH+evam
samyagavabudDaM,samyag+avabudDam
mohanenABihitam,mohanena+aBihitam
vAsudevamantarA,vAsudevam+antarA
DEryamanavalopayantyA,DEryam+anavalopayantyA
DarmamanugacCantyA,Darmam+anugacCantyA
tvayAtra,tvayA+atra
sOBAgyAjjIvito'haM,sOBAgyAjjIvitaH+aham
tasyAnana,tasya+Anana
piturgfhaM,pituH+gfham
suKamanuBUyatAm,suKam+anuBUyatAm
patramekaM,patram+ekam
cEkAM,ca+ekAm
prezayeti,prezaya+iti
kaTamapi,kaTam+api
so'vaDi,saH+avaDi
syAditi,syAd+iti
bIjAropaRamiva,bIjAropaRam+iva
nEzPalyamaBajata,nEzPalyam+aBajata
dinamavaSizwam,dinam+avaSizwam
divaso vyatIta,divasaH+vyatIta
svasTAnamagamat,svasTAnam+agamat
KawvAmArUQA,KawvAm+ArUQA
janmano vEraM,janmanaH+vEram
nABUtvA,na+aBUtvA
SarIrayazwirna,SarIrayazwiH+na
daSAmanuBavati,daSAm+anuBavati
dattamAryaputrAya,dattam+AryaputrAya
tayottTAya,tayA+uttTAya
gavAkzamArgeRAvalokitaM,gavAkzamArgeRa+avalokitam
haradevagfhAdayaM,haradevagfhAd+ayam
nIcErAgatA,nIcEH+AgatA
kavAwamudGAwaya,kavAwam+udGAwaya
sTito BAmAM,sTitaH+BAmAm
pratyavocan,prati+avocan
paSuvadAcaraRenAnena,paSuvadAcaraRena+anena
bahirgacCa,bahiH+gacCa
dUramapasftya,dUram+apasftya
mAtApi,mAtA+api
pUrvameva,pUrvam+eva
nAta,na+ata
mahendrasiMhamavalokya,mahendrasiMham+avalokya
aBinnamitraYca,aBinnamitram+ca
paSyanna,paSyan+na
puruzeRAnena,puruzeRa+anena
gehamidaM,geham+idam
mayAnusftA,mayA+anusftA
aDunEtAM,aDunA+etAm
neyA,na+iyA
mfttaramupaviSya,mfttaram+upaviSya
janatApi,janatA+api
kaTamapi,kaTam+api
sAhasamAvAM,sAhasam+AvAm
svasrApyaBARi,svasrApi+aBARi
SataDnIDenukAmAkzipya,SataDnIDenukAm+Akzipya
nAgrahIzyat,na+agrahIzyat
mAturmama,mAtuH+mama
parisTitiraBavizyat,parisTitiH+aBavizyat
so'vAdIt,saH+avAdIt
jAnatApi,jAnatA+api
nAmaSezamakftvA,nAmaSezam+akftvA
SAntiM Bajizye,SAntim+Bajizye
kAmapipAsApUrtyarTaM mayA,kAmapipAsApUrtyarTam+mayA
kiM na,kim+na
mohane'pi,mohane+api
tvaM madIye,tvam+madIye
gfhamekaM,gfham+ekam
qAkinyapi,qAkini+api
parityajatIti,parityajati+iti
lokoktirapi,lokoktiH+api
nADunA,na+aDunA
purastAttayo,purastAt+tayo
nottizWati,na+uttizWati
sEva,sA+eva
kuruRAM ca,kuruRAm+ca
tameva,tam+eva
tAdfSamatyAcAraM,tAdfSam+atyAcAram
gurunapi,gurun+api
svalpenEva,svalpena+eva
krudDyantIti,krudDyanti+iti
pratidinaM paSyAmo,pratidinam+paSyAmaH
heturatrApi,hetuH+atrApi
ekaSca,ekaH+ca
madIyoktiM,madIya+uktim
