aM gaRAya,am+gaRAya
bahulenoktaM,bahulena+uktaM
bahuvaktA'pi,bahuvaktA+api
bahuvaktftvAdBavizyaddevadattaputravaditi,bahuvaktftvAt+Bavizyaddevadattaputravat+iti
bahuvacanatvA'nyatamaDarmavadviBaktikatvam,bahuvacanatva+anyatamaDarmavat+viBaktikatvam
bahuvacanamiti,bahuvacanam+iti
bahuvacanAdesstrItvAdimAtraparatvakalpanam,bahuvacanAdeH+strItvAdimAtraparatvakalpanam
bahuvacanAntatAnupapatteSceti,bahuvacanAntatAnupapatteSca+iti
bahuvacanAntateti,bahuvacanAntata+iti
bahuvacanAntatvepi,bahuvacanAntatve+api
bahuvacanAntatvopapAdanepItyAdiH,bahuvacanAntatvopapAdanepi+ityAdiH
bahuvacanopapAdanaM na,bahuvacanopapAdanam+na
bahuvarzARyatItAni,bahuvarzARi+atItAni
bahuviDaM ca,bahuviDam+ca
bahuviDadozadfSvAno BAmatInibaMDakArA,bahuviDadozadfSvAnaH+BAmatInibaMDakArA
bahuviDamaRiratnaBUzitANgaM daSaSirasaM manasA,bahuviDamaRiratnaBUzitANgam+daSaSirasam+manasA
bahuvezaDarA nityaM,bahuvezaDarAH+nityaM
bahuvrIhAvAhitAnyAditvAt,bahuvrIhO+ahitAnyAditvAt
bahuvrIheSca,bahuvrIheH+ca
bahuSastarjayAYcakruH,bahuSaH+tarjayAm+cakruH
bahuSo jinapUjAH,bahuSaH+jinapUjAH
bahuSo dIyatAmiti,bahuSaH+dIyatAm+iti
bahuSo dfzwatvAt,bahuSaH+dfzwatvAt
bahuSo'boDayat,bahuSaH+aboDayat
bahuzvavasarezu,bahuzu+avasarezu
bahusikto'pi,bahusiktaH+api
bahusundaro'yaM,bahusundaraH+ayaM
bahusvarRaM rAjasUyaM rAjasUyaM na,bahusvarRam+rAjasUyam+rAjasUyam+na
bahUtsAhena,bahu+utsAhena
bahUnAM samavetAnAmekasminnirGfRAtmanAm,bahUnAm+samavetAnAm+ekasmin+nirGfRAtmanAm
bahUnAmakziRI,bahUnAm+akziRI
bahUnAmapi,bahUnAm+api
bahUnyatra,bahUni+atra
bahUnyastrARi,bahUni+astrARi
bahUnyASvAsanAni,bahUni+ASvAsanAni
bahUnyASIrvacAMsi,bahUni+ASIrvacAMsi
bahUpakftaM,bahu+upakftaM
bahmannasya,bahman+asya
bahvaparAdDaM mayA,bahvaparAdDam+mayA
bahvaparAdDammayA,bahvu+aparAdDam+mayA
bahvayaScintA,
bahvayastasya,bahvayaH+tasya
bahvarTasUcanAtsUtram,bahvarTasUcanAt+sUtram
bahvya iti,bahvyaH+iti
bAibilasyopari,bAibilasya+upari
bAQaM pipAsiteva,bAQam+pipAsitA
bAQamupakfto'smi,bAQam+upakftaH+asmi
bAQamfzRaM,bAQam+fzRaM
bAQamevaM kriyatAm,bAQam+evam+kriyatAm
bARaprakzepErANglasEnikAnAmutsAhamatrowayat,bARaprakzepEH+ANglasEnikAnAm+utsAham+atrowayat
bARamanyatra,bARam+anyatra
bARamamuYcat,bARam+amuYcat
bARamavekzya,bARam+avekzya
bARayogyamazwApadaM samarakarmaRi,bARayogyam+azwApadam+samarakarmaRi
bARavidyAyAmapi,bARavidyAyAm+api
bARasyAsya,bARasya+asya
bARA BallA eva,bARAH+BallAH+eva
bARenEva,bARena+eva
bAREraNkitA BUmipAlAH,bAREH+aNkitAH+BUmipAlAH
bAREstasya,bAREH+tasya
bAREstu,bAREH+tu
bARo balisutastasya,bARaH+balisutaH+tasya
bAdaranigoda ityucyate,bAdaranigodaH+iti+ucyate
bAdaranigodezvanantaM,bAdaranigodezu+anantaM
bADa ityata ityata Aha vEjAtya Aha vEjAtya iti,bADaH+iti+ataH+iti+ataH+Aha+vEjAtyaH+Aha+vEjAtyaH+iti
bADa ityata ityata Aha SarIreti,bADaH+iti+ataH+iti+ataH+Aha+SarIreti
bADa evetyata evetyata Aha tacceti,bADaH+eva+iti+ataH+eva+iti+ataH+Aha+tat+ca+iti
bADakaM ca,bADakam+ca
bADakaM pratyakzaM pratyakzaM cASutaraBramaRavaSAd,bADakam+pratyakzam+pratyakzam+ca+ASutaraBramaRavaSAd
bADakaM pramARaM pramARaM kurvato kurvato bOdDasya,bADakam+pramARam+pramARam+kurvataH+kurvataH+bOdDasya
bADakaM vinA,bADakam+vinA
bADakaM sUciyitumAha hetvABAsatveti,bADakam+sUciyitum+Aha+hetvABAsatva+iti
bADakaM syAt,bADakam+syAt
bADakaMpramARamaByupagacCato,bADakam+pramARamaByupagacCato
bADakatvAditi,bADakatvAt+iti
bADakatvAdityataH,bADakatvAt+iti+ataH
bADakatvAdityarucerAha vastuta iti,bADakatvAt+iti+aruceH+Aha+vastutaH+iti
bADakaprAmARopanyAso yuktaH,bADakaprAmARopanyAsaH+yuktaH
bADakamanupanyastamityata Aha api,bADakam+anupanyastam+iti+ataH+Aha+api
bADakamasattvam,bADakam+asattvam
bADakamasti,bADakam+asti
bADakamAha apItatveti,bADakam+Aha+apItatva+iti
bADakamAha tannASyatvamiti,bADakam+Aha+tat+nASyatvam+iti
bADakamAha,bADakam+Aha
bADakamAhataTA,bADakam+AhataTA
bADakamiti,bADakam+iti
bADakamityanenA'nvayaH,bADakam+ityanena+anvayaH
bADakamucyata iti,bADakam+ucyate+iti
bADakamupalaByata,bADakam+upalaByata
bADakamevABiDIyatAM kimanenetyASaMkyAha,bADakam+eva+aBiDIyatAm+kimanena+ityASaMkyAha
bADakasadBAvAcceti,bADakasadBAvAt+ca+iti
bADakasadBAvAdBinnakAlotpattiraNgIkartavyetyAha,bADakasadBAvAdBinnakAlotpattiH+aNgIkartavyA+iti+Aha
bADakastarkaH,bADakaH+tarkaH
bADakasyAnupalamBAt,bADakasya+anupalamBAt
bADakasyeti,bADakasya+iti
bADakAnumAnagatamABAsatvaM Bavatu,bADakAnumAnagatam+ABAsatvam+Bavatu
bADakAntaramapyAha,bADakAntaram+api+Aha
bADakAnna,bADakAt+na
bADakABAva iti,bADakABAvaH+iti
bADakABAva ityarTaH,bADakABAvaH+ityarTaH
bADakABAvamAha,bADakABAvam+Aha
bADakABAvasyAtaH,bADakABAvasya+ataH
bADakABAvAcca,bADakABAvAt+ca
bADakABAvAccEtraH,bADakABAvAt+cEtraH
bADakABAvAt,bADaka+aBAvAt
bADakABAvAtDUmatvasAmAnADikaraRyena,bADakABAvAt+DUmatvasAmAnADikaraRyena
bADakABAvAditi,bADaka+aBAvAt+iti
bADakABAvAditi,bADakABAvAt+iti
bADakABAvAdityayA,bADaka+aBAvAdityayA
bADakABAvAnna,bADakABAvAt+na
bADakABAvAnnotsargasyApavAdo yukta yukta iti,bADakABAvAt+na+utsargasya+apavAdaH+yuktaH+yuktaH+iti
bADakABAvAnnopacArakalpanA,bADakABAvAt+na+upacArakalpanA
bADakABAvAnmEtrItanayatvaM,bADakABAvAt+mEtrItanayatvaM
bADakABAvAsaMSayAdapyunumityAtteSca,bADaka+aBAva+asaMSayAt+api+anumityAt+teH+ca
bADakABAvena,bADaka+aBAvena
bADakABAvenopadarSita,bADakABAvena+upadarSita
bADakABAvepiga,bADakABAve+apiga
bADakABAve'pi,bADakABAve+api
bADakABAvo matvarTIyapratyayasyoBayaTA'nuSizwatvAdityASayaH,bADakABAvaH+matvarTIyapratyayasya+uBayaTA+anuSizwatvAt+ityASayaH
bADakABAvo'sidDaH,bADakABAvaH+asidDaH
bADakABiDAnaM na,bADakABiDAnam+na
bADakAlikamicCAjanyaM jYAnamAhAryamiti,bADakAlikam+icCAjanyam+jYAnam+AhAryam+iti
bADaketi,bADaka+iti
bADagrahastatra,bADagrahaH+tatra
bADagrahasyABAvamAtreRa,bADagrahasya+aBAvamAtreRa
bADajYAnatvenAnumitipratibanDakatve,bADajYAnatvena+anumitipratibanDakatve
bADajYAneti,bADajYAna+iti
bADajYAne'pyastIti,bADajYAne+api+asti+iti
bADatatsAmagryAdAvativyAptireva,bADatatsAmagryAdO+ativyAptiH+eva
bADatOlyamiti,bADatOlyam+iti
bADatvaM taTA,bADatvam+taTA
bADatvamiti,bADatvam+iti
bADatvameva,bADatvam+eva
bADatvAdityata Aha evaM Aha evaM ceti,bADatvAt+iti+ataH+Aha+evam+Aha+evam+ca+iti
bADatvAnaNgIkArAditi,bADatvAnaNgIkArAt+iti
bADanApIqAsaMtApAtmakaM muKyatayEva,bADanApIqAsaMtApAtmakam+muKyatayA+eva
bADanirRayasyEva,bADanirRayasya+eva
bADaniScayABAvaGawitatayetyarTaH,bADaniScayABAvaGawitatayeti+arTaH
bADaniScayABAvaGawitatayoktapratyakzasAmagryorekadA'saMbalanena,bADaniScayABAvaGawitataya+uktapratyakzasAmagryoH+ekadA+asaMbalanena
bADaniScayAvizayatvajYAnasyApratibanDakatayA,bADaniScayAvizayatvajYAnasya+apratibanDakatayA
bADapratiroDayorapyEkyApatteH,bADapratiroDayoH+api+ekyApatteH
bADabudDerakiMcitkaratvAt,bADabudDeH+akiMcitkaratvAt
bADabudDerapi,bADabudDeH+api
bADamAtravizayasyEva,bADamAtravizayasya+eva
bADamAtrasyEva,bADamAtrasya+eva
bADamAtreRetyarTo,bADamAtreRa+ityarTaH
bADamAnA mahAraRye,bADamAnAH+mahAraRye
bADamAha anyaTeti,bADam+Aha+anyaTA+iti
bADarUpAnumityajananApatteH,bADarUpAnumiti+ajananApatteH
bADarUpopasTitistu,bADarUpopasTitiH+tu
bADavadanumitivizayaviroDyanavagAhanAt,bADavat+anumitivizayaviroDyanavagAhanAt
bADaScetyata Ahaatreti,bADaH+ca+iti+ataH+Ahaatra+iti
bADasaMBavAnnopadarSitajYAnadvayasaMBava,bADasaMBavAt+na+upadarSitajYAnadvayasaMBava
bADasatpratipakzayorapratibanDakatve,bADasatpratipakzayoH+apratibanDakatve
bADasatpratipakzayoravyAptyApatteH,bADasatpratipakzayoH+avyAptyApatteH
bADasatpratipakzayorAha yadveti,bADasatpratipakzayoH+Aha+yat+vA+iti
bADasAmagrItvenADikaraRopasTiterapi,bADasAmagrItvenADikaraRopasTiteH+api
bADasTalIyaparAmarSasyApi,bADasTalIyaparAmarSasya+api
bADasTale'prAmARyAsaYjanAt,bADasTale+aprAmARyAsaYjanAt
bADasyAtaTAtve'pi,bADasya+ataTAtve+api
bADasyAnumitipratibanDakatayA,bADasya+anumitipratibanDakatayA
bADasyApi,bADasya+api
bADasyApyataTAtvApatteH,bADasya+api+ataTAtvApatteH
bADasyABAvA'niveSAtprakAratAvAdimate,bADasyABAva+aniveSAt+prakAratAvAdimate
bADasyeti,bADasya+iti
bADasyEva,bADasya+eva
bADAcCAbdaboDa,bADAt+SAbdaboDa
bADAtaptahfdayassan,bADAtaptahfdayaH+san
bADAdAha nirUpakatayeti,bADAt+Aha+nirUpakatayA+iti
bADAditi,bADAt+iti
bADAdityarTaH,bADAt+ityarTaH
bADAdisAMkaryameveti,bADAdisAMkaryam+eva+iti
bADAdIti,bADAt+iti
bADAdevAnumitipratibanDasaMBavAt,bADAt+eva+anumitipratibanDasaMBavAt
bADAdyavatAreRoBayasyApi,bADAdyavatAreRa+uBayasya+api
bADAnavatarakAlInatvameva,bADAnavatarakAlInatvam+eva
bADAnavatArAt,bADAn+avatArAt
bADAnAmapi,bADAnAm+api
bADAnna,bADAt+na
bADApatteriti,bADApattiH+iti
bADApatteriyamaparitozAdAha yadveti,bADApatteH+iyam+aparitozAt+Aha+yadveti
bADABAvAttatadBAvavyApyavattA,bADa+aBAvAttatadBAvavyApyavattA
bADABAvAdi,bADa+aBAvAdi
bADABAvAdiGawitatvena,bADa+aBAvAdiGawitatvena
bADABAvo yogyatA,bADABAvaH+yogyatA
bADAvatAradaSAyAM nAnumitivizayatvamiti,bADAvatAradaSAyAm+na+anumitivizayatvam+iti
bADAvatAradaSAyAmapi,bADAvatAradaSAyAm+api
bADAvatArastadA,bADAvatAraH+tadA
bADAvatArAsaMBava iti,bADAvatArAsaMBavaH+iti
bADAvatAre'numiterutpatteH,bADAvatAre+anumiteH+utpatteH
bADAvatAre'pi,bADAvatAre+api
bADAvatAro'pi,bADAvatAraH+api
bADAsaMBavAjjanyatvasya,bADAsaMBavAt+janyatvasya
bADita iti,bADitaH+iti
bADitaGawitaSAbdasAmagryASca,bADitaGawitaSAbdasAmagryAH+ca
bADitatvahetorasidDimASaNkya,bADitatvahetoH+asidDim+ASaNkya
bADitatvAditi,bADitatvAt+iti
bADitatvAnna,bADitatvAt+na
bADitatvAnnApattiriti,bADitatvAt+na+ApattiH+iti
bADitatvenAbADitatvaM,bADitatvena+abADitatvaM
bADitatveneti,bADitatvena+iti
bADitamanumAnamityamumevArTaM,bADitam+anumAnam+iti+amum+eva+arTaM
bADitamarTaM vedopi,bADitam+arTam+vedaH+api
bADitamiti,bADitam+iti
bADitamidamiti,bADitam+idam+iti
bADitameva,bADitam+eva
bADitameveti,bADitam+eveti
bADitamevetyarucerAha api,bADitam+eva+iti+aruceH+Aha+api
bADitavAniti,bADitavAn+iti
bADitavizayatvamiti,bADitavizayatvam+iti
bADitasyApi,bADitasya+api
bADitAnAmapyAkArAntareRAnumitivizayatvaM syAdityuktamityata syAdityuktamityata Aha samAneti,bADitAnAm+api+akArAntareRa+anumitivizayatvam+syAt+iti+uktam+iti+ataH+syAt+iti+uktam+iti+ataH+Aha+samAna+iti
bADiteti,bADitA+iti
bADitenApi,bADitena+api
bADitepi,bADite+api
bADite'pyavyAptyApatteH,bADite+api+avyAptyApatteH
bADito BUtvA,bADitaH+BUtvA
bADito'pi,bADitaH+api
bADitvAditi,bADitvAt+iti
bADiryapratIkAro'yaM,bADiryapratIkAraH+ayaM
bADiryamapanayAmi,bADiryam+apanayAmi
bADeneti,bADena+iti
bADenetyasya,bADena+iti+asya
bADenetyupakzaRam,bADena+iti+upalakzaRam
bADotpatteranupapatteH,bADotpatteH+anupapatteH
bADyata iti,bADyate+iti
bADyamAnatvAtpratyaBijYAnaM yaTA,bADyamAnatvAtpratyaBijYAnam+yaTA
bADyamAnatvAdyaTA,bADyamAnatvAt+yaTA
bAnDavajano vAkye,bAnDavajanaH+vAkye
bAnDavapraDAnAdayastatrA''yAtAste,bAnDavapraDAnAdayaH+tatra+AyAtAH+te
bAnDavA api,bAnDavAH+api
bAnDavAnAM BavatAM BavatAM prasAdAd prasAdAd vEDavyamaSlAGyamavApsyatIti,bAnDavAnAm+BavatAm+BavatAm+prasAdAt+vEDavyam+aSlAGyam+avApsyati+iti
bAnDavASca,bAnDavAH+ca
bAbareRoktam,bAbareRa+uktam
bAbaro baBAze,bAbaraH+baBAze
bAbaro'vadat,bAbaraH+avadat
bAbUmahASayaM BojanAya,bAbUmahASayam+BojanAya
bAbUmahASayasyAruntudaM vacanamidaM vacanamidaM SrutvA,bAbUmahASayasya+arudantam+vacanam+idam+vacanam+idam+SrutvA
bAbUmahASayo'pi,bAbUmahASayaH+api
bArhadraTApahftavizayakIrtiBogastava,bArhadraTApahftavizayakIrtiBogaH+tava
bAlaM gfhItvApakrAmAmi,bAlam+gfhItvA+apakrAmAmi
bAlaM dAmodaraM raNgamaDye,bAlam+dAmodaram+raNgamaDye
bAlaM premRA,bAlam+premRA
bAlaM rudantamaNke,bAlam+rudantam+aNke
bAlaM saMrakzitavAn,bAlam+saMrakzitavAn
bAlaM saNgfhyAliNgitavatI,bAlam+saNgfhya+AliNgitavatI
bAlakaM puraskftavAn,bAlakam+puraskftavAn
bAlakaM lokayantI,bAlakam+lokayantI
bAlakabAlikA vfdDA'pi,bAlakabAlikAH+vfdDA+api
bAlakamuKasamIpamanayatA,bAlakamuKasamIpam+anayatA
bAlakamudayasiMham,bAlakam+udayasiMham
bAlakayorjIvanopAya,
bAlakasyotsAho vfDdiM,bAlakasya+utsAhaH+vfDdiM
bAlakasyopari,bAlakasya+upari
bAlakasyAsya,bAlakasya+asya
bAlakasyA'sya,bAlakasya+asya
bAlakA asmAnmEtreRa,bAlakAH+asmAn+mEtreRa
bAlakA yuvAnaH,bAlakAH+yuvAnaH
bAlakARqavarRanaM nAma,bAlakARqavarRanam+nAma
bAlakAnAmapi,bAlakAnAm+api
bAlakAnAmupahAsAd udvignaH,bAlakAnAm+upahAsAt+udvignaH
bAlakAnutpAdayituM praBavet,bAlakAn+utpAdayitum+praBavet
bAlakAvAstAM SiSU,bAlakO+AstAm+SiSU
bAlakErapi,bAlakEH+api
bAlako vartate,bAlakaH+vartate
bAlako'yametannAmnEva,bAlakaH+ayam+etat+nAmnA+eva
bAlako'vAdIt,bAlakaH+avAdIt
bAlakrIqABirbanDUnAM,bAlakrIqABiH+banDUnAM
bAlakrIqEva,bAlakrIqA+eva
bAlaKilyA mahOjasaH,bAlaKilyAH+mahOjasaH
bAlagrahAnimAn,bAlagrahAn+imAn
bAlacApalamiva,bAlacApalam+iva
bAlapAWyatvAbudDayA,bAlapAWyatva+abudDayA
bAlapAWyAnyapi,bAlapAWyAn+api
bAlabAlikA sarve,bAlabAlikAH+sarve
bAlaBAvanimajjanamasmAkaM BAgyakrameRa,bAlaBAvanimajjanam+asmAkam+BAgyakrameRa
bAlaBAvAdadfzwadozaH,bAlaBAvAt+adfzwadozaH
bAlamavyaktarasaM,bAlam+avyaktarasaM
bAlamitramaBUt,bAlamitram+aBUt
bAlavfdDADvaBArasrIvyayAmAsaktacintakEH,bAlavfdDADvaBArasrIvyayAm+AsaktacintakEH
bAlaSudDirna,bAlaSudDiH+na
bAlaSunakamekam,bAlaSunakam+ekam
bAlastAvadasi,bAlaH+tAvat+asi
bAlasyApi,bAlasya+api
bAlasyA'Nge,bAlasya+aNge
bAlasyA''krandAraveRa,bAlasya+AkrandAraveRa
bAlasyeyamevAvasTA,bAlasya+iyam+eva+avasTA
bAlasyEva,bAlasya+eva
bAlasyABizecanaM kftavatI,bAlasya+aBizecanam+kftavatI
bAlasyAsya,bAlasya+asya
bAlA eva,bAlAH+eva
bAlA BUtvA,bAlAH+BUtvA
bAlA yuvAno yuvAno vfdDAScAnAhUtA vfdDAScAnAhUtA api,bAlAH+yuvAna
bAlA rAjakumArA rAjakumArA viviDAni,bAlAH+rAjakumArAH+rAjakumArAH+viviDAni
bAlAgraM likzA,bAlAgram+likzA
bAlAgraSataBAgo'pi,bAlAgraSataBAgaH+api
bAlAtapasyAruRimnA,bAlAtapasya+aruRimnA
bAlAtapasyAruRimnA,bAlAtapasya+AruRimnA
bAlAdapi,bAlAt+api
bAlAdayo'pi,bAlAdayaH+api
bAlAnaNke,bAlAn+aNke
bAlAnAM mArge,bAlAnAm+mArge
bAlAvimO,bAlO+imO
bAlASca,bAlAH+ca
bAlAstu,bAlAH+tu
bAlikAnAmaDyayane,bAlikAnAm+aDyayane
bAlikAnAmiva,bAlikAnAm+iva
bAlikASca,bAlikAH+ca
bAlikASca,bAlikAH+ca
bAlikA'tyantam,bAlikA+atyantam
bAlikeyaM tatpitfsakASaM tatpitfsakASaM prezayizyAva,bAlikA+iyam+tatpitfsakASam+tatpitfsakASam+prezayizyAva
bAlikeyaM sTalasya,bAlikA+iyam+sTalasya
bAlikeyamatiSayitapremRAnavarataM sevate,bAlikA+iyam+atiSayitapremRA+anavaratam+sevate
bAlenEkena,bAlena+ekena
bAlenoktam,bAlena+uktam
bAlenduvakrARyavikAsaBAvAd,bAlenduvakrARi+avikAsaBAvAd
bAlo gfhAd gfhAd bahirnirgatastaM,bAlaH+gfhAt+gfhAt+bahiH+nirgataH+taM
bAlo durAtmA,bAlaH+durAtmA
bAlo balenAdriniBaM balenAdriniBaM gajendraM gajendraM dantaM samAkfzya,bAlaH+balena+adriniBam+balena+adriniBam+gajendram+dantam+samAkfzya
bAlo vfdDo'jIrRI,bAlaH+vfdDaH+ajIrRI
bAlo hftastena,bAlaH+hftaH+tena
bAlo hfto kftastadA,bAlaH+hftaH+kftaH+tadA
bAlo'tivikalo jAtaH,bAlaH+ativikalaH+jAtaH
bAlo'yaM,bAlaH+ayaM
bAlyakAlAdeva,bAlyakAlAt+eva
bAlyakAlAdevAhaM,bAlyakAlAt+eva+ahaM
bAlyamatItya,bAlyam+atItya
bAlyAtpraBfti,bAlyAt+praBfti
bAlyAdAraBya,bAlyAt+AraBya
bAlyAdeva,bAlyAt+eva
bAlyAvasTAyAmeva,bAlyAvasTAyAm+eva
bAlye eva,bAlye+eva
bAlye'pi,bAlye+api
bAlyakAle'pi,bAlyakAle+api
bAlyaBAzaRaM bahukAlaM bahukAlaM yAvad,bAlyaBAzaRam+bahukAlam+bahukAlam+yAvad
bAzpatastatra,bAzpataH+tatra
bAzpanayanA tizWanti,bAzpanayanAH+tizWanti
bAzpaplutanetrA'vocat,bAzpaplutanetrA+avocat
bAzpAkulitanetrassan,bAzpAkulitanetraH+san
bAhavo'Bavan,bAhavaH+aBavan
bAhuM kUrpareRezatsamacAlayat,bAhum+kUrpareRezat+samacAlayat
bAhukaSca,bAhukaH+ca
bAhudaRqapramARantu,bAhudaRqapramARam+tu
bAhudaRqordDvato jYeyaH,bAhudaRqordDvataH+jYeyaH
bAhuByAM girimiva,bAhuByAm+girim+iva
bAhuByAM parigfhya,bAhuByAm+parigfhya
bAhuByAM gfhItvA,bAhuByAm+gfhItvA
bAhuByAM dfQaM dfQaM gfhItvA,bAhuByAm+dfQam+dfQam+gfhItvA
bAhumaho vikartya,bAhumahaH+vikartya
bAhumAtraM sruvaM sruvaM hastam,bAhumAtram+sruvam+sruvam+hastam
bAhulyaM evaM evaM spArSanatvAvacCinnaM spArSanatvAvacCinnaM prati,bAhulyam+evam+evam+spArSanatvAvacCinnam+spArSanatvAvacCinnam+prati
bAhulyaM parikalpayet,bAhulyam+parikalpayet
bAhulyaM sarvezAmeva,bAhulyam+sarvezAm+eva
bAhulyAditi,bAhulyAt+iti
bAhulyApekzayedaM lakzaRaM lakzaRaM vivakzitam,bAhulyApekzayA+idam+lakzaRam+lakzaRam+vivakzitam
bAhulyenANgulAni,bAhulyena+aNgulAni
bAhoSca,bAhoH+ca
bAhyajanaDAritAlaNkAraM gfhajano gfhajano na,bAhyajanaDAritAlaNkAram+gfhajanaH+gfhajanaH+na
bAhyajanA DanaputrAdi,bAhyajanAH+DanaputrAdi
bAhyatayA'pi,bAhyatayA+api
bAhyato mfjyAdekEkaM mfjyAdekEkaM pArSvayorapi,bAhyataH+mfjyAt+ekEkam+mfjyAt+ekEkam+pArSvayoH+api
bAhyato lokapAlAnAM lokapAlAnAM dattvA,bAhyataH+lokapAlAnAm+lokapAlAnAm+dattvA
bAhyanagarARyavalokitAni,bAhyanagarARi+avalokitAni
bAhyamizyate,bAhyam+izyate
bAhyavizayajYAnABAvAdindriyARAM,bAhyavizayajYAnABAvAt+indriyARAM
bAhyasUryamaRqalAdirityapare,bAhyasUryamaRqalAdiH+ityapare
bAhyasparSezvasaktAtmA,bAhyasparSezu+asaktAtmA
bAhyAvaraRaM SrotfsamAjasammuKaM SrotfsamAjasammuKaM viDAya,bAhyAvaraRam+SrotfsamAjasammuKam+SrotfsamAjasammuKam+viDAya
bAhyendriyagrAhyatvaM nAma,bAhyendriyagrAhyatvam+nAma
bAhyendriyagrAhyAstataH,bAhyendriyagrAhyAH+tataH
bAhyendriyatvAt,bAhya+indriyatvAt
bAhyendriyatvAditi,bAhyendriyatvAt+iti
bAhyendriyapratyakzatvAdityanumAnABAsatvameva,bAhyendriyapratyakzatvAt+iti+anumAnABAsatvam+eva
bAhyendriyARyapi,bAhyendriyARi+api
bAhyo rAjA,bAhyaH+rAjA
bAhyo rAjA'si,bAhyaH+rAjA+asi
biqAlyA anupasTitO,biqAlyAH+anupasTitO
biqAlyA prativeSinaH,biqAlyAH+prativeSinaH
biDovanabArava ityAdikAnAM,biDovanabAravaH+ityAdikAnAM
binduM rudrarUpamanantaram,bindum+rudrarUpama+anantaram
binduM vahnestu,bindum+vahneH+tu
binduM Sirasi,bindum+Sirasi
bindunDyAtvA,bindum+DyAtvA
binduBiScA''cayo'NgAnAM,binduBiH+ca+AcayaH+aNgAnAM
bindumISvaravAcakam,bindum+ISvaravAcakam
bindurUpaYca,bindurUpam+ca
bindurdaSAzwO,binduH+daSAzwO
binduvad DyAtvA,binduvat+DyAtvA
bindvantaM tatra,bindvantam+tatra
biBartyavyaya ISvaraH,biBarti+avyayaH+ISvaraH
biBImo BartaH,biBImaH+BartaH
bimbaM tvaM tvaM sabAhyAByantarasTitaH,bimbam+tvam+tvam+sabAhyAByantarasTitaH
bimbamudrAM ganDAdikaM ganDAdikaM dadet,bimbamudrAm+ganDAdikam+ganDAdikam+dadet
bimbArdDamAnaM daRqasya,bimbArdDamAnam+daRqasya
bimbaM GanIBUta,
bilamAsIt,bilam+AsIt
bilvaM rAjyAya,bilvam+rAjyAya
bilvaM sviyO,bilvam+sviyO
bilvakASmaryatarkArIpAwalAwuRwakErmahat,bilvakASmaryatarkArIpAwalAwuRwakEH+mahat
bilvatarumAlokya,bilvatarum+Alokya
bisErmUlakena,bisEH+mUlakena
bihArapradeSasyAsmAkaM,bihArapradeSasya+asmAkaM
bIjaM bIjAtkamaM bIjAtkamaM DyAyet,bIjam+bIjAtmakam+bIjAtmakam+DyAyet
bIjaM vyomasaMsTitam,bIjam+vyomasaMsTitam
bIjagarBaSiKArdDantu,bIjagarBaSiKArdDam+tu
bIjajAtamapi,bIjajAtam+api
bIjanAqIsamIrARAM dvayorindriyayorapi,bIjanAqIsamIrARAm+dvayoH+indriyayoH+api
bIjapUrakayukto vA,bIjapUrakayuktaH+vA
bIjapUraYca,bIjapUram+ca
bIjaprarohasaMrakzaRArTaM uBayarUpAyA api,bIjaprarohasaMrakzaRArTam+uBayarUpAyAH+api
bIjamanuvartate,bIjam+anuvartate
bIjamAha evaM ceti,bIjam+Aha+evam+ca+iti
bIjamityata Aha dUzakatAbIjamiti,bIjam+iti+ataH+Aha+dUzakatAbIjam+iti
bIjamuttamam,bIjam+uttamam
bIjamuptamakAle,bIjamuptam+akAle
bIjamupyate,bIjam+upyate
bIjAkAro makAraSca,bIjAkAraH+makAraH+ca
bIjAnAM mUlasya,bIjAnAm+mUlasya
bIjAnyapi,bIjAni+api
bIjABAvamevAha taM vineti,bIjABAvam+eva+Aha+tam+vinA+iti
bIjAvayavAnAM raktAnAmanuvfttAveva,bIjAvayavAnAm+raktAnAm+anuvfttO+eva
bIjErmmfdBiSca,bIjEH+mfdBiH+ca
bIjodGAwanaM prakfte'nAvaSyakatayopekzyaH,bIjodGAwanam+prakfte+anAvaSyakatayA+upekzyaH
budDakalkyavatAravarRanaM nAma,budDakalkyavatAravarRanam+nAma
budDayaSca,budDayaH+ca
budDarevetyarTaH,budDiH+eva+ityarTaH
budDAvatAraYca,budDAvatAram+ca
budDiM prati,budDim+prati
budDiGawAdayo vidyamAnA vidyamAnA api,budDiGawAdayaH+vidyamAnAH+vidyamAnAH+api
budDicAturyagarBAmuktim,budDicAturyagarBAm+uktim
budDitattvaM nyased nyased buDaH,budDitattvam+nyaset+nyaset+buDaH
budDitvAvacCinnaM prati,budDitvAvacCinnam+prati
budDidaSAyAM lohitavahnimAnparvata,budDidaSAyAm+lohitavahnimAn+parvata
budDinAvamaDizwAya,budDinAvam+aDizwAya
budDindriyamana,prayogAdanumAnatarkAdiSudDAdete
budDiparyantAnuSaraRamityAha,budDiparyantAnuSaraRam+ityAha
budDiprakAratvasyAvyAvartakatvAt,budDiprakAratvasya+avyAvartakatvAt
budDiprakAratveneva,budDiprakAratvena+iva
budDimanto mahAjanAH,budDimantaH+mahAjanAH
budDimeDABimAnAdyEraBipretArTasADanAt,budDimeDABimAnAdyEH+aBipretArTasADanAt
budDirAdarSamaRqalagatevacCAyA,budDiH+AdarSamaRqalagatA+iva+cCAyA
budDirutpadyate,budDiH+utpadyate
budDirutpAdyate,budDiH+utpAdyate
